Event Name,Clock Time (UTC ISO),Elapsed Time (s)
Stimulus onset,2025-08-29T14:35:58.942308+00:00,1.092
Stimulus onset,2025-08-29T14:35:59.823306+00:00,1.973
Condition start,2025-08-29T14:36:00.590228+00:00,2.740
Condition start,2025-08-29T14:36:00.842103+00:00,2.992
Condition end,2025-08-29T14:36:01.699929+00:00,3.849
Condition end,2025-08-29T14:36:02.660963+00:00,4.810
Condition start,2025-08-29T14:36:03.351825+00:00,5.501
Stimulus onset,2025-08-29T14:36:03.643017+00:00,5.792
Stimulus onset,2025-08-29T14:36:05.986616+00:00,8.136
Condition start,2025-08-29T14:36:06.565009+00:00,8.714
Condition end,2025-08-29T14:36:07.664072+00:00,9.813
Default manual marker,2025-08-29T14:36:08.349874+00:00,10.500
Default manual marker,2025-08-29T14:36:08.568941+00:00,10.718
